Breakfast, Mon-Fri, 7:00AM - 11:00AM
Breakfast, Mon-Fri, 7:00AM - 11:00AM
Brunch, Sat-Sun, 10:00AM - 4:00PM
Lunch, Mon-Fri, 11:00AM - 2:00PM
Limited Service, Mon-Fri, 2:00PM - 5:00PM
Limited Service, Sat-Sun, 4:00PM - 5:00PM
Dinner, Mon-Thu, 5:00PM - 10:00PM
Diner, Fri-Sat, 5:00PM - 7:00PM
Diner, Sun, 5:00PM - 9:00PM
Late Night, Mon-Thu, 10:00PM - 2:00AM
Late Night, Fri-Sat, 7:00PM - 11:00PM
Late Night, Sun, 9:00PM - 12:00AM
Location, 1 UTSA Circle, San Antonio TX 78249

